,times
"('ComplexToMagnitudeAngle', 'Math')",5
"('ComplexToMagnitudeAngle', 'Sqrt')",3
"('UnitDelay', 'Assignment')",3
"('Math', 'UnitDelay')",2
"('DiscreteZeroPole', 'Rounding')",3
"('Rounding', 'ComplexToMagnitudeAngle')",4
"('Gain', 'DotProduct')",3
"('Math', 'Bias')",2
"('Math', 'Display')",2
"('MinMax', 'ComplexToRealImag')",2
"('Rounding', 'Trigonometry')",3
"('DiscreteStateSpace', 'PermuteDimensions')",4
"('Constant', 'DiscreteStateSpace')",57
"('PermuteDimensions', 'DiscreteStateSpace')",3
"('DotProduct', 'DiscreteTransferFcn')",5
"('DotProduct', 'Polyval')",2
"('Outport', 'unknown')",9
"('DiscreteFir', 'SubSystem')",35
"('SubSystem', 'DiscreteFir')",23
"('DiscreteFir', 'Inport')",47
"('DiscreteTransferFcn', 'SubSystem')",34
"('DiscreteZeroPole', 'SubSystem')",42
"('DigitalClock', 'DiscreteFir')",3
"('Polyval', 'SubSystem')",4
"('SignalGenerator', 'SubSystem')",13
"('ComplexToMagnitudeAngle', 'SubSystem')",23
"('SubSystem', 'ComplexToMagnitudeAngle')",16
"('Outport', 'Scope')",2
"('Sqrt', 'DiscreteFir')",97
"('UnitDelay', 'SubSystem')",54
"('DotProduct', 'SubSystem')",6
"('Sqrt', 'SubSystem')",26
"('ComplexToMagnitudeAngle', 'MinMax')",3
"('Gain', 'SubSystem')",5
"('PermuteDimensions', 'Trigonometry')",2
"('Product', 'If')",2
"('DiscreteZeroPole', 'ToWorkspace')",3
"('SubSystem', 'Reshape')",10
"('Assignment', 'UnitDelay')",2
"('DiscreteFir', 'Product')",4
"('Reshape', 'ComplexToMagnitudeAngle')",42
"('Rounding', 'PermuteDimensions')",2
"('Sum', 'Assignment')",4
"('Terminator', 'Sqrt')",2
"('Math', 'Product')",6
"('Signum', 'Inport')",65
"('UnaryMinus', 'Abs')",2
"('unknown', 'Product')",7
"('Sum', 'unknown')",6
"('Sin', 'DiscreteZeroPole')",2
"('Polyval', 'Inport')",10
"('Clock', 'ToWorkspace')",2
"('Sin', 'ComplexToMagnitudeAngle')",2
"('ComplexToMagnitudeAngle', 'Sin')",2
"('SignalGenerator', 'Terminator')",3
"('Ground', 'SubSystem')",7
"('PermuteDimensions', 'Math')",4
"('Delay', 'Terminator')",59
"('Clock', 'If')",4
"('Clock', 'Reference')",6
"('SubSystem', 'Gain')",12
"('Math', 'SubSystem')",7
"('Signum', 'SubSystem')",3
"('Signum', 'Product')",36
"('UnaryMinus', 'Sum')",33
"('Sum', 'UnaryMinus')",37
"('UnaryMinus', 'Sqrt')",2
FromWorkspace,10
ToFile,23
"('Demux', 'Outport')",7
